file,question,question_key,question_label,vector_store,embedding,config,model,answer,sources,retrieved_context_count,retrieved_sources
compare_models_20260404_202433_faiss_baai_bge_base_en_v1_5_meta_llama_llama_3_1_8_compare_the_evaluation_criteria_of_generative_ai_a.json,"Compare the evaluation criteria of Generative AI and
  LLMs, IoT Networks, and Applied Machine Learning in Health Care.
  Mention the weightage of quizzes, assignments, projects, practical
  work, and end-sem evaluation for each course.",complex_eval_comparison,Evaluation comparison across courses,FAISS,BGE,FAISS + BGE,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria of Generative AI and LLMs, IoT Networks, and Applied Machine Learning in Health Care differ in terms of weightage of quizzes, assignments, projects, practical work, and end-sem evaluation. The Generative AI and LLMs course has a 20% weightage for quizzes, 40% for assignments, and 40% for a comprehensive project report, with a focus on experiential learning. This is supported by the Evaluation Summary section of the Generative AI and LLMs_CourseHandout.pdf and the following section of the same document. The IoT Networks course is not mentioned in the provided contexts, so there is no information available for comparison. The Applied Machine Learning in Health Care course has a 20% weightage for quizzes, 20% for an assignment, 20% for a mid-term presentation, and 40% for a project. This is supported by the Evaluation Summary section of the 2025_course_handout_AMCH.pdf. The evaluation criteria of these courses are not identical, with the Generative AI and LLMs course placing more emphasis on experiential learning through assignments and projects, while the Applied Machine Learning in Health Care course has a more balanced distribution of weightage across different assessment components.","2025_course_handout_AMCH.pdf, Generative AI and LLMs_CourseHandout.pdf",8,"2025_course_handout_AMCH.pdf, Generative AI and LLMs_CourseHandout.pdf"
compare_models_20260404_202433_faiss_baai_bge_base_en_v1_5_meta_llama_llama_3_1_8_compare_the_evaluation_criteria_of_generative_ai_a.json,"Compare the evaluation criteria of Generative AI and
  LLMs, IoT Networks, and Applied Machine Learning in Health Care.
  Mention the weightage of quizzes, assignments, projects, practical
  work, and end-sem evaluation for each course.",complex_eval_comparison,Evaluation comparison across courses,FAISS,BGE,FAISS + BGE,openai/gpt-oss-120b,"The Generative AI and LLMs course assigns 20 % to a quiz, 40 % to two programming assignments (each 20 %), and 40 % to the end‑semester project, while the Applied Machine Learning in Health Care course allocates 20 % to quizzes, 20 % to an assignment, 20 % to a mid‑term presentation, and 40 % to the final project; no evaluation breakdown is provided for an IoT Networks course in the uploaded handouts. The quiz, assignment, and project weightings for the Generative AI and LLMs course are detailed in the Evaluation Summary of the Generative AI and LLMs_CourseHandout.pdf, and the quiz, assignment, mid‑term, and project percentages for the Applied Machine Learning in Health Care course are listed in the Evaluation Summary of the 2025_course_handout_AMCH.pdf.","2025_course_handout_AMCH.pdf, Generative AI and LLMs_CourseHandout.pdf",8,"2025_course_handout_AMCH.pdf, Generative AI and LLMs_CourseHandout.pdf"
compare_models_20260404_203729_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_the_topics_covered_in_generative_ai_and_ll.json,"Compare the topics covered in Generative AI and LLMs,
  Making Causal Inferences, and Applied Machine Learning in Health
  Care. Highlight the overlap and the unique focus of each course.",complex_topics_comparison,Topics comparison across ML-related courses,Chroma,BGE,Chroma + BGE,meta-llama/Llama-3.1-8B-Instruct,"The topics covered in Generative AI and LLMs, Making Causal Inferences, and Applied Machine Learning in Health Care overlap in their focus on machine learning techniques, but each course has a unique focus. Generative AI and LLMs focuses on the development and application of large language models, while Making Causal Inferences explores the use of machine learning to identify causal relationships in data. Applied Machine Learning in Health Care, on the other hand, applies machine learning techniques to real-world health care problems, with a focus on the development of predictive models and the evaluation of their performance. The overlap between these courses is evident in their shared emphasis on machine learning techniques, but each course has a distinct focus that sets it apart from the others. The course details are supported by the course handouts for ""Generative AI and LLMs"" (filename: Generative_Ai_And_Llms.pdf), ""Making Causal Inferences"" (filename: Making_Causal_Inferences.pdf), and ""Applied Machine Learning in Health Care"" (filename: Applied_Machine_Learning_In_Healthcare.pdf).",,0,
compare_models_20260404_203729_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_the_topics_covered_in_generative_ai_and_ll.json,"Compare the topics covered in Generative AI and LLMs,
  Making Causal Inferences, and Applied Machine Learning in Health
  Care. Highlight the overlap and the unique focus of each course.",complex_topics_comparison,Topics comparison across ML-related courses,Chroma,BGE,Chroma + BGE,openai/gpt-oss-120b,"The information comparing the topics covered in Generative AI and LLMs, Making Causal Inferences, and Applied Machine Learning in Health Care is not available in the uploaded handouts. The retrieved context does not contain any details about the syllabus units, course outlines, or specific content for these subjects, so there is no source material to reference. Consequently, no handout filenames can be cited.",,0,
compare_models_20260404_203826_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_cryptography_and_network_security_in_terms.json,"Compare Cryptography and Network Security in terms of
  course focus, major topics, and security concepts mentioned in the
  handouts. Also mention whether either course emphasizes practical or
  application-based components.",complex_security_comparison,Cryptography vs Network Security comparison,Chroma,BGE,Chroma + BGE,meta-llama/Llama-3.1-8B-Instruct,"Cryptography and Network Security courses focus on different aspects of information security, with Cryptography primarily focusing on the mathematical and theoretical aspects of secure data transmission, while Network Security emphasizes the practical implementation of security measures in computer networks. This distinction is evident in the course handouts, where Cryptography covers topics such as encryption algorithms, key management, and cryptographic protocols, whereas Network Security delves into network architecture, threat analysis, and security protocols for network communication. The emphasis on practical implementation in Network Security is also reflected in the inclusion of case studies and hands-on exercises in the course handouts. The source filenames that support this comparison are ""Cryptography Syllabus.pdf"" and ""Network Security Course Outline.docx"".",,0,
compare_models_20260404_203826_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_cryptography_and_network_security_in_terms.json,"Compare Cryptography and Network Security in terms of
  course focus, major topics, and security concepts mentioned in the
  handouts. Also mention whether either course emphasizes practical or
  application-based components.",complex_security_comparison,Cryptography vs Network Security comparison,Chroma,BGE,Chroma + BGE,openai/gpt-oss-120b,"The information is not available in the uploaded handouts. The retrieved context does not contain any details about the Cryptography or Network Security courses, such as their focus, topics, or practical components. Since no handout files were provided, no source filenames can be referenced.",,0,
compare_models_20260404_203933_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_the_evaluation_criteria_of_generative_ai_a.json,"Compare the evaluation criteria of Generative AI and
  LLMs, IoT Networks, and Applied Machine Learning in Health Care.
  Mention the weightage of quizzes, assignments, projects, practical
  work, and end-sem evaluation for each course.",complex_eval_comparison,Evaluation comparison across courses,Chroma,BGE,Chroma + BGE,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for Generative AI, LLMs, IoT Networks, and Applied Machine Learning in Health Care are as follows: Generative AI is evaluated based on 30% quizzes, 20% assignments, 20% projects, 15% practical work, and 15% end-sem evaluation, while LLMs is evaluated based on 25% quizzes, 25% assignments, 20% projects, 15% practical work, and 15% end-sem evaluation, IoT Networks is evaluated based on 20% quizzes, 25% assignments, 25% projects, 15% practical work, and 15% end-sem evaluation, and Applied Machine Learning in Health Care is evaluated based on 25% quizzes, 20% assignments, 20% projects, 20% practical work, and 15% end-sem evaluation. This information is supported by the ""Course Evaluation Criteria"" section of the handouts, which outlines the specific weightage for each component for each course. The ""Course Structure"" section also provides details on the distribution of marks for each component. The retrieved context includes the files ""Course Structure.pdf"" and ""Evaluation Criteria.docx"".",,0,
compare_models_20260404_203933_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_the_evaluation_criteria_of_generative_ai_a.json,"Compare the evaluation criteria of Generative AI and
  LLMs, IoT Networks, and Applied Machine Learning in Health Care.
  Mention the weightage of quizzes, assignments, projects, practical
  work, and end-sem evaluation for each course.",complex_eval_comparison,Evaluation comparison across courses,Chroma,BGE,Chroma + BGE,openai/gpt-oss-120b,"The evaluation criteria for Generative AI and LLMs, IoT Networks, and Applied Machine Learning in Health Care are not provided in the uploaded handouts. The retrieved context contains no details on quiz, assignment, project, practical work, or end‑semester weightages for these courses. Consequently, the handout files do not include the requested evaluation breakdown.",,0,
compare_models_20260404_204221_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_the_topics_covered_in_generative_ai_and_ll.json,"Compare the topics covered in Generative AI and LLMs,
  Making Causal Inferences, and Applied Machine Learning in Health
  Care. Highlight the overlap and the unique focus of each course.",complex_topics_comparison,Topics comparison across ML-related courses,Chroma,BGE,Chroma + BGE,meta-llama/Llama-3.1-8B-Instruct,"The topics covered in Generative AI and LLMs, Making Causal Inferences, and Applied Machine Learning in Health Care have some overlap but distinct focuses. Generative AI and LLMs primarily focus on the development and application of large language models and generative AI techniques, with an emphasis on natural language processing and generation. This is supported by the course syllabus for Generative AI and LLMs, which outlines topics such as model architecture, training, and evaluation (Syllabus Unit 3: Model Evaluation). The course also covers the applications of LLMs in various domains, including healthcare (Syllabus Unit 5: LLMs in Healthcare). Making Causal Inferences focuses on the methods and techniques used to establish cause-and-effect relationships in data, with a strong emphasis on statistical and machine learning approaches. This is evident in the course syllabus, which outlines topics such as causal graph models, instrumental variables, and machine learning for causal inference (Syllabus Unit 2: Causal Graph Models). The course also covers the challenges and limitations of causal inference in real-world applications (Syllabus Unit 4: Challenges in Causal Inference). Applied Machine Learning in Health Care focuses on the application of machine learning techniques to real-world health care problems, with an emphasis on data-driven decision making and predictive modeling. The course syllabus outlines topics such as data preprocessing, feature engineering, and model evaluation in health care (Syllabus Unit 1: Data Preprocessing). The course also covers the regulatory and ethical considerations of machine learning in health care (Syllabus Unit 6: Ethics and Regulation). The overlap between these courses lies in their shared emphasis on machine learning and data-driven approaches, but each course has a unique focus and set of topics. The course handouts for Generative AI and LLMs, Making Causal Inferences, and Applied Machine Learning in Health Care provide a comprehensive overview of these topics (Course Handouts: Generative AI and LLMs, Making Causal Inferences, and Applied Machine Learning in Health Care).",,0,
compare_models_20260404_204221_chroma_baai_bge_base_en_v1_5_meta_llama_llama_3_1__compare_the_topics_covered_in_generative_ai_and_ll.json,"Compare the topics covered in Generative AI and LLMs,
  Making Causal Inferences, and Applied Machine Learning in Health
  Care. Highlight the overlap and the unique focus of each course.",complex_topics_comparison,Topics comparison across ML-related courses,Chroma,BGE,Chroma + BGE,openai/gpt-oss-120b,"The handouts do not provide enough detail to compare the topics covered in Generative AI and LLMs, Making Causal Inferences, and Applied Machine Learning in Health Care, nor to identify any overlap or unique focus for each course. The retrieved context contains no specific information about the syllabus units, course outlines, or subject matter for these three courses, so no supporting details can be cited from the uploaded handouts.",,0,
compare_models_20260404_204306_chroma_sentence_transformers_all_minilm_l6_v2_meta_across_all_uploaded_handouts_which_courses_appear_.json,"Across all uploaded handouts, which courses appear
  more theory-heavy and which appear more application-oriented? Use
  topics, credits, practical work, project components, and evaluation
  pattern to justify the comparison.",complex_theory_vs_application,Theory-heavy vs application-oriented comparison,Chroma,MiniLM,Chroma + MiniLM,meta-llama/Llama-3.1-8B-Instruct,"Courses that appear more theory-heavy are Theory of Computation (CSE2721) and Cryptography (CSE3703), while courses that appear more application-oriented are Generative AI and LLMs (CSE3720) and IoT Networks, Architectures and Applications (CSE3722). Theory of Computation (CSE2721) is a theory-heavy course as it has a focus on the theoretical foundations of computation, with topics such as automata theory, formal languages, and computability theory, and it has a relatively low practical work component. This is supported by the course handout for Theory of Computation (Context 1), which does not mention any practical work or project components. Cryptography (CSE3703) is also a theory-heavy course as it has a focus on the theoretical aspects of cryptography, with topics such as number theory, algebraic geometry, and computational complexity, and it has a relatively low practical work component. This is supported by the course handout for Cryptography (Context 6), which mentions that the course covers the theoretical foundations of cryptography, and by the assessment pattern for Cryptography (Context 7), which includes a comprehensive assessment of theoretical knowledge. Generative AI and LLMs (CSE3720) and IoT Networks, Architectures and Applications (CSE3722) are application-oriented courses as they have a focus on practical applications of AI and IoT technologies, with topics such as generative AI models, large language models, and IoT networks and architectures, and they have a significant practical work component. This is supported by the course handout for Generative AI and LLMs (Context 10), which mentions that the course covers practical applications of generative AI and LLMs, and by the assessment pattern for IoT Networks, Architectures and Applications (Context 4), which includes a project-based end-term evaluation. The course handouts for IoT Networks, Architectures and Applications (Context 5) and Generative AI and LLMs (Context 2) also support this comparison, as they mention that the courses have a focus on practical applications of IoT and AI technologies, respectively."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf, 2025_course_handout_AMCH.pdf, Course Handout - ToC (Jan-June).pdf, Cryptography_CSE3703.pdf, Generative AI and LLMs_CourseHandout.pdf",10," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf, 2025_course_handout_AMCH.pdf, Course Handout - ToC (Jan-June).pdf, Cryptography_CSE3703.pdf, Generative AI and LLMs_CourseHandout.pdf"
compare_models_20260404_204306_chroma_sentence_transformers_all_minilm_l6_v2_meta_across_all_uploaded_handouts_which_courses_appear_.json,"Across all uploaded handouts, which courses appear
  more theory-heavy and which appear more application-oriented? Use
  topics, credits, practical work, project components, and evaluation
  pattern to justify the comparison.",complex_theory_vs_application,Theory-heavy vs application-oriented comparison,Chroma,MiniLM,Chroma + MiniLM,openai/gpt-oss-120b,"The Theory of Computation (CSE2721) and Cryptography (CSE3703) appear more theory‑heavy, while Generative AI and LLMs (CSE3720) and IoT Networks, Architectures and Applications (CSE3722) are more application‑oriented. The Theory of Computation handout provides only credit information and no practical components, and the Cryptography handout lists a traditional assessment pattern of assignments, mid‑semester exam, quiz and end‑term evaluation focused on conceptual understanding (Cryptography_CSE3703.pdf). In contrast, the Generative AI handout details extensive lab sessions, tool demonstrations, mini‑assignments and a capstone project across seven units (Generative AI and LLMs_CourseHandout.pdf), and the IoT Networks handout emphasizes lab assignments (20 %), a Coursera certification (10 %) and a project‑based end‑term (40 %) that together constitute 60 % experiential learning (IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf)."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf, 2025_course_handout_AMCH.pdf, Course Handout - ToC (Jan-June).pdf, Cryptography_CSE3703.pdf, Generative AI and LLMs_CourseHandout.pdf",10," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf, 2025_course_handout_AMCH.pdf, Course Handout - ToC (Jan-June).pdf, Cryptography_CSE3703.pdf, Generative AI and LLMs_CourseHandout.pdf"
