file,folder,question,question_key,question_label,vector_store,embedding_model,embedding_short,config,generator_model,answer,top_source
ask_20260403_202006_chroma_baai_bge_base_en_v1_5_what_is_the_evaluation_criteria_for_iot_networks_a.json,Chromo_Output,"What is the evaluation criteria for IoT Networks,
  Architectures and Applications?",iot_evaluation,IoT evaluation criteria,chroma,BAAI/bge-base-en-v1.5,BGE,CHROMA + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for IoT Networks, Architectures and Applications involves a final grade based on the marks/grades obtained in the mid-term and end-term evaluations along with other components as defined in the evaluation plan/table, with a minimum of 40% of marks required to become eligible for grading. This evaluation criteria is supported by the Evaluation Summary section of the course handouts, which outlines the relative grading method and the weightage of various evaluation components, including the mid-term exam, lab assignments, Coursera certification, and end-term project. The exact evaluation criteria can be found in the Evaluation Summary section of the IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf handouts."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260404_132933_faiss_baai_bge_base_en_v1_5_what_is_the_evaluation_criteria_for_iot_networks_a.json,FAISS_Outputs/BGE,"What is the evaluation criteria for IoT Networks,
  Architectures and Applications?",iot_evaluation,IoT evaluation criteria,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for IoT Networks, Architectures and Applications is based on the marks/grades obtained in the mid-term and end-term evaluations along with other components as defined in the evaluation plan/table. The relative grading method defined in the academic regulations of the university will be followed to grade the students, with a minimum of 40% of marks required to become eligible for grading. This evaluation criteria is supported by the Evaluation Summary section in the IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf handouts, which outlines the evaluation components, weightage, and schedule."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260404_132933_faiss_baai_bge_base_en_v1_5_what_is_the_evaluation_criteria_for_iot_networks_a.json,FAISS_Outputs/BGE,"What is the evaluation criteria for IoT Networks,
  Architectures and Applications?",iot_evaluation,IoT evaluation criteria,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for IoT Networks, Architectures and Applications is based on the marks/grades obtained in the mid-term and end-term evaluations along with other components as defined in the evaluation plan/table. The relative grading method defined in the academic regulations of the university will be followed to grade the students, with a minimum of 40% of marks required to become eligible for grading. This evaluation criteria is supported by the Evaluation Summary section in the IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf handouts, which outlines the evaluation components, weightage, and schedule."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260403_232313_faiss_sentence_transformers_all_minilm_l6_v2_what_is_the_evaluation_criteria_for_iot_networks_a.json,FAISS_Outputs,"What is the evaluation criteria for IoT Networks,
  Architectures and Applications?",iot_evaluation,IoT evaluation criteria,faiss,sentence-transformers/all-MiniLM-L6-v2,MiniLM,FAISS + MiniLM + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for IoT Networks, Architectures and Applications involves a combination of mid-term and end-term evaluations, along with other components, with a minimum of 40% marks required to become eligible for grading. This is based on the relative grading method defined in the academic regulations of the university, as outlined in the Evaluation Summary section of the course handouts. The evaluation components include a mid-term exam (30%), lab assignments (20%), Coursera certification (10%), and an end-term project (40%), as detailed in the Evaluation Summary section of both IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf and IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260403_202448_chroma_baai_bge_base_en_v1_5_what_topics_are_covered_in_iot_networks_architectu.json,Chromo_Output,"What topics are covered in IoT Networks, Architectures
  and Applications?",iot_topics,IoT topics covered,chroma,BAAI/bge-base-en-v1.5,BGE,CHROMA + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The topics covered in IoT Networks, Architectures and Applications include basics of networking, OSI and TCP/IP models, addressing, and TCP connections; what is IoT and why is IoT; applications of IoT, potential, and challenges; IoT network architectures; types of communication; and network protocols and standards for IoT connectivity.

These topics are covered in the course syllabus, which outlines the 48 sessions of the course, including theory and lab sessions, and maps them to the course outcomes and reference chapters. The specific topics are listed under the section ""Topics of the course"" in the ""IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"" file."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260404_133007_faiss_baai_bge_base_en_v1_5_what_topics_are_covered_in_iot_networks_architectu.json,FAISS_Outputs/BGE,"What topics are covered in IoT Networks, Architectures
  and Applications?",iot_topics,IoT topics covered,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The topics covered in IoT Networks, Architectures and Applications include basics of networking, OSI and TCP/IP models, addressing, and TCP connections; what is IoT and why is IoT; applications of IoT, potential, and challenges; IoT network architectures; types of communication; and network protocols and standards for IoT connectivity, among others. These topics are covered in the course syllabus, which outlines the various sections and their corresponding sessions, and are supported by the course handouts, including IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260404_133007_faiss_baai_bge_base_en_v1_5_what_topics_are_covered_in_iot_networks_architectu.json,FAISS_Outputs/BGE,"What topics are covered in IoT Networks, Architectures
  and Applications?",iot_topics,IoT topics covered,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The topics covered in IoT Networks, Architectures and Applications include basics of networking, OSI and TCP/IP models, addressing, and TCP connections; what is IoT and why is IoT; applications of IoT, potential, and challenges; IoT network architectures; types of communication; and network protocols and standards for IoT connectivity, among others. These topics are covered in the course syllabus, which outlines the various sections and their corresponding sessions, and are supported by the course handouts, including IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260404_132504_faiss_sentence_transformers_all_minilm_l6_v2_what_topics_are_covered_in_iot_networks_architectu.json,FAISS_Outputs,"What topics are covered in IoT Networks, Architectures
  and Applications?",iot_topics,IoT topics covered,faiss,sentence-transformers/all-MiniLM-L6-v2,MiniLM,FAISS + MiniLM + Llama,meta-llama/Llama-3.1-8B-Instruct,"The topics covered in IoT Networks, Architectures and Applications include basics of networking, OSI and TCP/IP models, addressing, and TCP connections; what is IoT and why is IoT; applications of IoT, potential and challenges; IoT network architectures; types of communication, such as M2M, machine to cloud, etc. These topics are covered in 48 sessions, with a mix of theory and lab sessions. The course syllabus is supported by Context 1, which lists the topics and their corresponding sessions, and Context 4, which provides an overview of the course."," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
ask_20260403_202848_chroma_baai_bge_base_en_v1_5_what_is_the_evaluation_criteria_for_applied_machin.json,Chromo_Output,"What is the evaluation criteria for Applied Machine
  Learning in Health Care?",healthcare_evaluation,Healthcare evaluation criteria,chroma,BAAI/bge-base-en-v1.5,BGE,CHROMA + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for Applied Machine Learning in Health Care involves a relative grading method, where the final grade will be based on the marks obtained in various assessment components, including quizzes, assignments, mid-term presentations, and a project, with relative weights of 20%, 20%, 20%, and 40% respectively.

This evaluation criteria is supported by the Evaluation Summary section of the course handout, which outlines the relative weights and schedules for each assessment component, as well as the rubrics and remarks for each component. The specific details of the evaluation criteria can be found in the 2025_course_handout_AMCH.pdf file.",2025_course_handout_AMCH.pdf
ask_20260404_133038_faiss_baai_bge_base_en_v1_5_what_is_the_evaluation_criteria_for_applied_machin.json,FAISS_Outputs/BGE,"What is the evaluation criteria for Applied Machine
  Learning in Health Care?",healthcare_evaluation,Healthcare evaluation criteria,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for Applied Machine Learning in Health Care involves a relative grading method, where the final grade will be based on the marks obtained in various assessment components, including quizzes, assignments, mid-term presentations, and a project, with a total of 100% weightage.

The evaluation criteria is defined in the assessment table, which outlines the evaluation component weightage, schedule, and rubrics for each assessment component, including quizzes, assignments, mid-term presentations, and a project. The relative grading method is defined in the academic regulations of the university. The evaluation criteria is further supported by the detailed rubrics for each assessment component, which outline the specific skills and knowledge that students are expected to demonstrate.",2025_course_handout_AMCH.pdf
ask_20260404_133038_faiss_baai_bge_base_en_v1_5_what_is_the_evaluation_criteria_for_applied_machin.json,FAISS_Outputs/BGE,"What is the evaluation criteria for Applied Machine
  Learning in Health Care?",healthcare_evaluation,Healthcare evaluation criteria,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for Applied Machine Learning in Health Care involves a relative grading method, where the final grade will be based on the marks obtained in various assessment components, including quizzes, assignments, mid-term presentations, and a project, with a total of 100% weightage.

The evaluation criteria is defined in the assessment table, which outlines the evaluation component weightage, schedule, and rubrics for each assessment component, including quizzes, assignments, mid-term presentations, and a project. The relative grading method is defined in the academic regulations of the university. The evaluation criteria is further supported by the detailed rubrics for each assessment component, which outline the specific skills and knowledge that students are expected to demonstrate.",2025_course_handout_AMCH.pdf
ask_20260403_232534_faiss_sentence_transformers_all_minilm_l6_v2_what_is_the_evaluation_criteria_for_applied_machin.json,FAISS_Outputs,"What is the evaluation criteria for Applied Machine
  Learning in Health Care?",healthcare_evaluation,Healthcare evaluation criteria,faiss,sentence-transformers/all-MiniLM-L6-v2,MiniLM,FAISS + MiniLM + Llama,meta-llama/Llama-3.1-8B-Instruct,"The evaluation criteria for Applied Machine Learning in Health Care involves a relative grading method, where the final grade will be based on the marks obtained in various assessment components, including quizzes, assignments, mid-term presentations, and a project, with a weightage of 20%, 20%, 20%, and 40% respectively.

This evaluation criteria is supported by the assessment table in the Evaluation Summary section of the course handout, which outlines the evaluation component weightage and schedule. The relative grading method is also mentioned in the same section.

The specific evaluation criteria for each component, such as understanding of concepts, problem-solving, and timeliness, are outlined in the CO1 U AP 6 section of the course handout. The overall evaluation criteria is supported by the course handouts 2025_course_handout_AMCH.pdf, specifically the Evaluation Summary and CO1 U AP 6 sections.",2025_course_handout_AMCH.pdf
ask_20260403_203009_chroma_baai_bge_base_en_v1_5_how_many_credits_are_there_in_applied_machine_lear.json,Chromo_Output,"How many credits are there in Applied Machine Learning
  in Health Care?",healthcare_credits,Healthcare credits,chroma,BAAI/bge-base-en-v1.5,BGE,CHROMA + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"There are 3 credits in Applied Machine Learning in Health Care.
This information is supported by multiple contexts, including Context 1 and Context 2, which both state that the course ""Applied Machine Learning in Health Care"" has 3 credits.
The course details are also consistent across different sections of the course handout, including the ""Structured Course Facts"" and ""Credits"" sections.
The information can be found in the 2025 course handout for Applied Machine Learning in Health Care, specifically in the files 2025_course_handout_AMCH.pdf.",2025_course_handout_AMCH.pdf
ask_20260404_133634_chroma_sentence_transformers_all_minilm_l6_v2_how_many_credits_are_there_in_applied_machine_lear.json,Chromo_Output/MiniLM,"How many credits are there in Applied Machine Learning
  in Health Care?",healthcare_credits,Healthcare credits,chroma,sentence-transformers/all-MiniLM-L6-v2,MiniLM,CHROMA + MiniLM + Llama,meta-llama/Llama-3.1-8B-Instruct,"There are 3 credits in Applied Machine Learning in Health Care.
This information is supported by multiple contexts, including the course title and credits listed in Context 1 and Context 2, and the course code and credits mentioned in Context 3.
The credits are also consistent across all contexts, including Context 4 and Context 5, which provide additional details about the course.
This information is available in the uploaded handouts, specifically 2025_course_handout_AMCH.pdf.",2025_course_handout_AMCH.pdf
ask_20260404_133634_chroma_sentence_transformers_all_minilm_l6_v2_how_many_credits_are_there_in_applied_machine_lear.json,Chromo_Output/MiniLM,"How many credits are there in Applied Machine Learning
  in Health Care?",healthcare_credits,Healthcare credits,chroma,sentence-transformers/all-MiniLM-L6-v2,MiniLM,CHROMA + MiniLM + Llama,meta-llama/Llama-3.1-8B-Instruct,"There are 3 credits in Applied Machine Learning in Health Care.
This information is supported by multiple contexts, including the course title and credits listed in Context 1 and Context 2, and the course code and credits mentioned in Context 3.
The credits are also consistent across all contexts, including Context 4 and Context 5, which provide additional details about the course.
This information is available in the uploaded handouts, specifically 2025_course_handout_AMCH.pdf.",2025_course_handout_AMCH.pdf
ask_20260404_133532_faiss_baai_bge_base_en_v1_5_how_many_credits_are_there_in_applied_machine_lear.json,FAISS_Outputs/BGE,"How many credits are there in Applied Machine Learning
  in Health Care?",healthcare_credits,Healthcare credits,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"There are 3 credits in Applied Machine Learning in Health Care.
This information is supported by multiple contexts, including the course title and credits listed in Context 1 and Context 2, which both state that the course has 3 credits.
The course details are also consistent across all the provided contexts, including Context 3, Context 4, and Context 5.
The course details are available in 2025_course_handout_AMCH.pdf.",2025_course_handout_AMCH.pdf
ask_20260404_133532_faiss_baai_bge_base_en_v1_5_how_many_credits_are_there_in_applied_machine_lear.json,FAISS_Outputs/BGE,"How many credits are there in Applied Machine Learning
  in Health Care?",healthcare_credits,Healthcare credits,faiss,BAAI/bge-base-en-v1.5,BGE,FAISS + BGE + Llama,meta-llama/Llama-3.1-8B-Instruct,"There are 3 credits in Applied Machine Learning in Health Care.
This information is supported by multiple contexts, including the course title and credits listed in Context 1 and Context 2, which both state that the course has 3 credits.
The course details are also consistent across all the provided contexts, including Context 3, Context 4, and Context 5.
The course details are available in 2025_course_handout_AMCH.pdf.",2025_course_handout_AMCH.pdf
ask_20260404_132535_faiss_sentence_transformers_all_minilm_l6_v2_how_many_credits_are_there_in_applied_machine_lear.json,FAISS_Outputs,"How many credits are there in Applied Machine Learning
  in Health Care?",healthcare_credits,Healthcare credits,faiss,sentence-transformers/all-MiniLM-L6-v2,MiniLM,FAISS + MiniLM + Llama,meta-llama/Llama-3.1-8B-Instruct,"There are 3 credits in Applied Machine Learning in Health Care.
This information is supported by multiple contexts, including the course title and credits listed in Context 1 and Context 2, and the course details provided in Context 3.
The course code MTH3705 and credits 3 are also mentioned in Context 4 and Context 5.",2025_course_handout_AMCH.pdf
